list_name,name,label,dis_filter
cadas,LBN34030,Bchelli - بشلّلي,LBD0016
cadas,LBN55015,Bchennata - بشناتا,LBD0013
cadas,LBN31026,Bdedoun - بدادون,LBD0002
cadas,LBN54011,Bdeihoun - بدبهون,LBD0011
cadas,LBN54012,Bdibba - بدبا,LBD0011
cadas,LBN22003,Bdita - بديتا,LBD0010
cadas,LBN51026,Bebnine - ببنين,LBD0001
cadas,LBN55014,Bechhara - بشحارة,LBD0013
cadas,LBN54013,Bechmizzine - بشمزين,LBD0011
cadas,LBN21013,Bechouat - بشوات,LBD0004
cadas,LBN55016,Bechtayel - بشتايل,LBD0013
cadas,LBN34031,Bechtelida - بشتليدا,LBD0016
cadas,LBN52015,Bechtoudar-Aoura - بشتودار,LBD0009
cadas,LBN31027,Bedghane - بدغان,LBD0002
cadas,LBN63015,Bedias - بدياس,LBD0022
cadas,LBN21014,Bednayel - بدنايل,LBD0004
cadas,LBN54014,Bednayel el koura - بدنايل الكورة,LBD0011
cadas,LBN34032,Behdaidat - بحديدات,LBD0016
cadas,LBN55011,Behouaita - بحويتا,LBD0013
cadas,LBN51027,Beino - بينو,LBD0001
cadas,LBN11009,Beirut - بيروت,LBD0006
cadas,LBN11061,Beirut Central District - وسط بيروت,LBD0006
cadas,LBN57017,Beit Aabeid - بيت عبيد,LBD0026
cadas,LBN22004,Beit Aallam - بيت علام,LBD0010
cadas,LBN22005,Beit Aallaou - بيت علاّو,LBD0010
cadas,LBN57018,Beit Aaoukar - بيت عوكر,LBD0026
cadas,LBN51028,Beit Ali Adraa - بيت علي عدرة,LBD0001
cadas,LBN51029,Beit Ayoub - بيت ايوب,LBD0001
cadas,LBN55017,Beit Bakkour - بيت بكور,LBD0013
cadas,LBN57019,Beit Barakat - بيت بركات,LBD0026
cadas,LBN21015,Beit Chama - بيت شاما,LBD0004
cadas,LBN36029,Beit Chebab - بيت شباب,LBD0012
cadas,LBN52016,Beit Chlala - بيت شلالا,LBD0009
cadas,LBN51030,Beit Daoud - بيت داوود,LBD0001
cadas,LBN55018,Beit Daoud Izal - بيت داوود عزال,LBD0013
cadas,LBN33030,Beit ed Dine - بيت الدين,LBD0008
cadas,LBN35023,Beit Eid - بيت عيد,LBD0018
cadas,LBN34033,Beit El Boume - بيت البومة,LBD0016
cadas,LBN55019,Beit El Faqs - بيت الفقس,LBD0013
cadas,LBN51031,Beit el Haj - بيت الحاج,LBD0001
cadas,LBN51032,Beit el Haouch - بيت الحوش,LBD0001
cadas,LBN57020,Beit el Hraqsa - بيت الحرقصى,LBD0026
cadas,LBN36030,Beit El Koukko - بيت الككو,LBD0012
cadas,LBN35024,Beit El Kreidi - بيت كريدي,LBD0018
cadas,LBN21016,Beit es Satiti - بيت الستيته,LBD0004
cadas,LBN22006,Beit es Semmaqa - بيت السماقة,LBD0010
cadas,LBN51189,Beit Ghattas - بيت غطاس,LBD0001
cadas,LBN21017,Beit Habchi - بيت حبشي,LBD0004
cadas,LBN55020,Beit Haouik - بيت حاويك,LBD0013
cadas,LBN55021,Beit Hasna - بيت حسنة,LBD0013
cadas,LBN34034,Beit Hbaq - بيت حبّاق,LBD0016
cadas,LBN22007,Beit Hira - بيت حيرا,LBD0010
cadas,LBN55022,Beit jida - بيت جدا,LBD0013
cadas,LBN55023,Beit Kanj - بيت كنج,LBD0013
cadas,LBN52017,Beit Kassab - بيت كسّاب,LBD0009
cadas,LBN35025,Beit Khachbou - بيت خشبو,LBD0018
cadas,LBN51033,Beit Khlaiyel - بيت خلايل,LBD0001
cadas,LBN57021,Beit Knaty - بيت قناطي,LBD0026
cadas,LBN23011,Beit Lahia - بيت لهيا,LBD0020
cadas,LBN41006,Beit Lif - بيت ليف,LBD0007
cadas,LBN21018,Beit Mchik - مزرعة بيت مشيك,LBD0004
cadas,LBN51034,Beit Mellat - بيت ملات,LBD0001
cadas,LBN53007,Beit Menzer - بيت منذر,LBD0005
cadas,LBN36031,Beit Meri - بيت مري,LBD0012
cadas,LBN55024,Beit Moumne - بيت مومنة,LBD0013
cadas,LBN55025,Beit Radouane - بيت رضوان,LBD0013
cadas,LBN41007,Beit Yahnoun - بيت ياحون,LBD0007
cadas,LBN51035,Beit Younes - بيت يونس,LBD0001
cadas,LBN55026,Beit Zoud - بيت زود,LBD0013
cadas,LBN21019,Bejjaje - بجاجة,LBD0004
cadas,LBN34035,Bejje - بجه,LBD0016
cadas,LBN34036,Bekhaaz - بخعاز,LBD0016
cadas,LBN34037,Bekouane - بكونا,LBD0016
cadas,LBN51036,Bellanet el Hissa - بلانة الحيصة,LBD0001
cadas,LBN36032,Belle Vue - بلّفو,LBD0012
cadas,LBN43008,Beni Haiyane - بني حيان,LBD0019
cadas,LBN33031,Benoeti - بنواتي,LBD0008
cadas,LBN62013,Benouati - بنواتي جزين,LBD0017
cadas,LBN41008,Bent Jubail - بنت جبيل,LBD0007
cadas,LBN34038,Bentaael - بنتاعل,LBD0016
cadas,LBN36033,Beqaata En Nahr - بقعاتا النهر,LBD0012
cadas,LBN35026,Beqaatet Aachqout - بقعاتة عشقوت,LBD0018
cadas,LBN51037,Berbara - برباره,LBD0001
cadas,LBN25008,Berbara zahle - بربارة زحلة,LBD0025
cadas,LBN22008,Berghoch - برغش,LBD0010
cadas,LBN42007,Berghoz - برغز,LBD0015
cadas,LBN34042,Berket Hejoula - بركة حجولا,LBD0016
cadas,LBN51038,Berqayel - برقايل,LBD0001
cadas,LBN63016,Bestiyat - بستيات,LBD0022
cadas,LBN21020,Betdaai - بتدعي,LBD0004
cadas,LBN51039,Bezbina - بزبينا,LBD0001
cadas,LBN34039,Beziyoun - بزيون,LBD0016
cadas,LBN320012,Bhala - بحالا,LBD0003
cadas,LBN31028,Bhamdoun ed Dayaa - بحمدون الضيعة,LBD0002
cadas,LBN31029,Bhamdoun el Mhatta - بحمدون المحطة,LBD0002
cadas,LBN36034,Bhannes - بحنس,LBD0012
cadas,LBN62014,Bhannine - بحنين,LBD0017
cadas,LBN55027,Bhannine El Minieh - بحنين المنيه,LBD0013
cadas,LBN34040,Bhassis - بحسيس,LBD0016
cadas,LBN36035,Bhersaf - بحرصاف,LBD0012
cadas,LBN31030,Bhouara - بحوارا,LBD0002
cadas,LBN36036,Biaqout - بياقوت,LBD0012
cadas,LBN31031,Bihat - بهات,LBD0002
cadas,LBN52018,Bijdarfel - بجدرفل,LBD0009
